Designator,Mid X,Mid Y,Rotation,Layer
D1,22.483799,-41.202711,180.0,top
D10,40.483799,-63.19471,180.0,top
D11,76.483799,-61.670713,180.0,top
D12,75.533799,-80.502709,175.0,top
D13,40.4838,-46.176711,180.0,top
D14,76.4838,-44.652714,180.0,top
D15,94.783798,-83.902711,165.0,top
D16,40.483801,-29.202711,180.0,top
D17,76.483798,-27.702712,180.0,top
D18,113.183801,-90.602709,155.0,top
D19,22.483799,-41.202711,0.0,bottom
D2,58.483798,-22.202711,180.0,top
D20,58.483798,-22.202711,0.0,bottom
D21,94.483798,-30.202711,0.0,bottom
D22,22.483797,-58.252712,0.0,bottom
D23,58.4838,-39.318711,0.0,bottom
D24,94.463799,-47.192711,0.0,bottom
D25,22.483799,-75.202709,0.0,bottom
D26,58.483797,-56.336711,0.0,bottom
D27,94.4638,-64.210712,0.0,bottom
D28,40.483799,-63.19471,0.0,bottom
D29,76.483799,-61.670713,0.0,bottom
D3,94.483798,-30.202711,180.0,top
D30,75.533799,-80.502709,355.0,bottom
D31,40.4838,-46.176711,0.0,bottom
D32,76.4838,-44.652714,0.0,bottom
D33,94.783798,-83.902711,345.0,bottom
D34,40.483801,-29.202711,0.0,bottom
D35,76.483798,-27.702712,0.0,bottom
D36,113.183801,-90.602709,335.0,bottom
D37,14.31,-40.1925,270.0,top
D38,14.31,-40.1925,270.0,bottom
D39,14.283799,-57.202711,270.0,top
D4,22.483797,-58.252712,180.0,top
D40,14.283799,-57.202711,270.0,bottom
D41,14.283799,-74.202709,270.0,top
D42,14.283799,-74.202709,270.0,bottom
D43,32.283801,-28.202711,270.0,top
D44,32.283801,-28.202711,270.0,bottom
D45,33.1,-54.15,0.0,top
D46,33.0925,-54.15,0.0,bottom
D47,34.64,-74.2,0.0,top
D48,34.64,-74.2,0.0,bottom
D49,50.283798,-21.202711,270.0,top
D5,58.4838,-39.318711,180.0,top
D50,50.283798,-21.202711,270.0,bottom
D51,51.0,-47.18,0.0,top
D52,51.0,-47.18,0.0,bottom
D53,50.283797,-55.336711,270.0,top
D54,50.283797,-55.336711,270.0,bottom
D55,67.42,-78.58,265.0,top
D56,67.42,-78.58,265.0,bottom
D57,68.02,-22.7,0.0,top
D58,68.02,-22.7,0.0,bottom
D59,68.32,-38.68,270.0,top
D6,94.463799,-47.192711,180.0,top
D60,68.32,-38.68,270.0,bottom
D61,69.17,-69.78,0.0,top
D62,69.17,-69.78,0.0,bottom
D63,106.1,-86.33,245.0,top
D64,106.1,-86.33,245.0,bottom
D65,86.54,-27.1525,270.0,top
D66,86.54,-27.15,270.0,bottom
D67,85.82,-44.4625,270.0,top
D68,85.82,-44.46,270.0,bottom
D69,86.3725,-72.39,0.0,top
D7,22.483799,-75.202709,180.0,top
D70,86.37,-72.39,0.0,bottom
D71,87.092949,-80.813778,255.0,top
D72,87.09,-80.82,255.0,bottom
D8,58.483797,-56.336711,180.0,top
D9,94.4638,-64.210712,180.0,top
J1,120.5338,-73.052713,90.0,bottom
J2,120.5518,-73.072711,270.0,top
OL1,113.033799,-62.782712,0.0,top
OL2,113.033799,-64.60271,180.0,bottom
RSW1,72.808798,-15.765212,0.0,top
SW1,75.533799,-80.502709,355.0,top
SW10,58.4838,-39.318711,0.0,top
SW11,76.4838,-44.652714,0.0,top
SW12,94.463799,-47.192711,0.0,top
SW14,22.483799,-75.202709,0.0,top
SW15,40.483799,-63.19471,0.0,top
SW16,58.483797,-56.336711,0.0,top
SW17,76.483799,-61.670713,0.0,top
SW18,94.457454,-64.210711,0.0,top
SW2,22.483799,-41.202711,0.0,top
SW20,113.183801,-90.602709,335.0,top
SW21,94.783798,-83.902711,345.0,top
SW3,40.483801,-29.202711,0.0,top
SW4,58.483798,-22.202711,0.0,top
SW5,76.483798,-27.702712,0.0,top
SW6,94.483798,-30.202711,0.0,top
SW8,22.483799,-58.202711,0.0,top
SW9,40.4838,-46.176711,0.0,top
U2,113.233798,-43.839461,270.0,top
